Feed_inefficiency,Protein_efficiency,Animal_mortality,Fertilizer_use,Land_use,Soy_use,Permanent_grassland,Grazing,Manure_biogas,Renewable_electricity_use,Carbon_footprint
0.767,34.832,5.540,182.055,0.854,2.979,0.484,9.408,0,1,0.870
0.729,37.254,4.416,135.833,1.194,0.432,0.690,10.175,0,0,0.863
0.746,31.646,9.743,157.702,0.827,0.465,0.507,11.235,0,1,0.868
0.801,34.986,4.542,315.587,0.688,0.400,0.530,41.507,0,0,0.888
0.824,31.947,1.189,50.308,2.025,6.406,0.904,4.965,0,1,0.898
0.723,33.559,3.035,302.910,0.629,0.554,0.313,5.462,0,0,0.881
0.803,31.396,2.979,315.898,0.618,4.268,0.694,29.734,0,1,0.888
0.726,32.583,2.976,99.115,1.828,0.722,2.081,7.297,0,1,0.902
0.759,28.324,1.234,214.897,0.646,6.184,0.324,2.423,0,1,0.882
0.825,35.411,1.389,165.528,1.108,0.417,0.943,22.521,0,1,0.890
0.914,35.226,2.807,188.062,0.944,1.548,1.191,67.500,0,0,0.895
0.740,32.684,1.896,196.029,0.991,1.321,1.417,14.148,0,1,0.889
0.730,34.696,6.084,162.428,1.344,0.418,0.511,52.953,0,0,0.901
0.707,27.235,1.540,148.268,0.790,12.619,0.370,8.979,0,1,0.884
0.744,36.042,2.154,187.914,1.060,0.420,0.862,25.175,0,0,0.881
0.767,36.571,2.435,227.470,0.970,1.671,0.594,17.210,0,1,0.888
0.726,36.079,10.011,131.969,1.243,9.428,1.945,19.882,0,1,0.880
0.766,27.289,1.784,72.531,1.518,0.473,0.186,9.949,0,1,0.892
0.874,35.846,4.166,128.388,0.672,0.673,0.789,4.431,0,1,0.855
0.723,33.022,1.799,123.260,1.678,1.427,0.317,56.226,0,0,0.907
0.818,31.162,1.651,149.101,0.875,13.570,1.075,0.770,1,1,0.860
0.825,35.041,2.102,301.838,0.643,2.492,0.168,8.792,1,0,0.861
0.802,36.167,1.930,242.930,0.960,10.543,0.586,46.251,0,1,0.894
0.727,38.041,1.951,123.217,0.946,31.360,0.251,17.567,0,1,0.861
0.716,32.384,5.798,125.440,1.141,1.952,1.434,1.358,1,0,0.843
